Zaman damgası,Sınava hangi yıl girdin?,Çalışmaya kaç ay önce başladın?,Dershane veya özel ders aldın mı?,Sene başında TYT netlerin hangi aralıktaydı?,İlk denemelerde AYT netlerin hangi aralıktaydı?,Sınava yakın TYT toplam net ortalamanın?,Sınava yakın AYT toplam net ortalamanın?,Çalışma stilini en iyi hangisi tanımlar?,Günlük ortalama çalışma saatin (Verimli geçen süre)?,Gece mi daha verimli çalışırdın gündüz mü?,En çok zorlandığın konular?,Süreçte belirgin bir sıçrama veya düşüş yaşadın mı?,"Sıralamanı yükselttiğine inandığın en kritik ""Kırılma Anı"" veya alışkanlığın neydi?",Sınavda yaptığın SAY sıralaman,Sınavda yaptığın TYT sıralaman,Geri dönüp değiştireceğin bir şey var mı?
22.02.2026 19:26:57,2025,1 yıldan fazla,Sadece dershane,80-100,70+,100-110,75+,Pratik Odaklı: Konuyu hızlıca öğrenip asıl kavramayı bol soru ve farklı kaynakla yapardım.,8-10,Gündüz,Denge Basit Makineler Olasılık,Şubat Mart ayı gibi tyt netlerim düşük gelmeye başladı ama sonra Nisan Mayıs gibi sıçrama yaşadı,Önceki denemeleri alıp yanlış yaptığım veya beğendiğim sorulara tekrar bakmak,5657,9500,Matematikte kendimi hep iyi görürdüm ama en çok oralardan hata yapardım ondan geriye dönsem hiçbir dersi küçümsemezdim
22.02.2026 20:11:22,2024,1 yıldan fazla,Sadece dershane,80-100,40-60,100-110,70-75,Pratik Odaklı: Konuyu hızlıca öğrenip asıl kavramayı bol soru ve farklı kaynakla yapardım.,4-6,Gece,Çembersel Hareket,Hayır,Deneme analizi,1251,700,Daha az stres yapardım
22.02.2026 21:56:49,2025,1 yıldan fazla,Sadece dershane,100+,60-70,110+,75+,Pratik Odaklı: Konuyu hızlıca öğrenip asıl kavramayı bol soru ve farklı kaynakla yapardım.,4-6,Gece,paragraf ve olasılık,yok,ayt mat çözmekten zevk almak,1948,7000,tyt matta basit işlem ve soru okurken daha dikkatli davranma
08.03.2026 12:33:39,2025,1 yıldan fazla,Sadece dershane,60-80,40-60,100-110,60-70,Pratik Odaklı: Konuyu hızlıca öğrenip asıl kavramayı bol soru ve farklı kaynakla yapardım.,0-4,Gündüz,Dil Bilgisi.,Evet.,TYT sınav günü.,4144,4131,Hayır.
08.03.2026 12:44:11,2025,6-12 ay arası,Sadece dershane,80-100,40-60,100-110,70-75,"Konu Odaklı: Konuyu tam anlamadan soruya geçmezdim, teorik temele çok vakit ayırırdım.",4-6,Gündüz,"Matematik: Ayt geometri  Fizik: Elektrik ve manyetizma, optik  Kimya: Organik kimya  Biyoloji: Bitkiler ",Evet sınava yakın ayt de 63 nete düştüğüm bir deneme oldu ,Ayt de özellikle matematikte konuları öğrenirken detaylıca neden-sonuç ilişkilerini kurup ardından testlere geçmem,9703,16746,Daha uzun saatler çalışırdım ve Tyt fen ile tyt sosyali daha fazla ciddiye alırdım
08.03.2026 12:44:41,2025,1 yıldan fazla,Sadece dershane,60-80,60-70,110+,75+,"Konu Odaklı: Konuyu tam anlamadan soruya geçmezdim, teorik temele çok vakit ayırırdım.",4-6,Gündüz,olasılık,evet,disiplinli çalışarak geçirdiğim aralık-nisan aralığı beni başarıya götürdü derim,3131,11822,yok
08.03.2026 12:46:02,2025,1 yıldan fazla,Sadece dershane,80-100,40-60,80-100,70-75,Pratik Odaklı: Konuyu hızlıca öğrenip asıl kavramayı bol soru ve farklı kaynakla yapardım.,6-8,Gece,"PKOB , basit makineler ,elektrik , çokgenler ,paragraf",İkisini de bazı zamanlar yaşadım ,Okuldaki sıralamamın bir dönem yükselmesi ,16.000,20.000,Son 3 ayı daha iyi değerlendirebilirdim
08.03.2026 12:59:18,2025,6-12 ay arası,Sadece dershane,60-80,40-60,100-110,60-70,"Konu Odaklı: Konuyu tam anlamadan soruya geçmezdim, teorik temele çok vakit ayırırdım.",4-6,Gündüz,Analitik geometri ,Msüden sonra sıçrama yaşandı ,Msü sınav sonucumun beni hayal kırıklığına uğratması sonucu çalışma tempomu ciddi şekilde arttırmam,7500,4000,Sınavı ciddiye almak her sıkıldığımda kaçmamak
08.03.2026 13:10:48,2025,1 yıldan fazla,İkisi de,60-80,40-60,80-100,70-75,Pratik Odaklı: Konuyu hızlıca öğrenip asıl kavramayı bol soru ve farklı kaynakla yapardım.,6-8,Gece,"Newton Hareket Yasaları, Üreme Sistemi","TYT'de bazen, AYT'de hayır",AYT Mat denemesi daha çok çözmeye başladığımda ve biyolojiyi konu + soru odaklı yoğun bir program yapınca son ay,7472,12106,TYT Matematik ve Sosyal denemesi daha çok çözerdim
08.03.2026 13:11:30,2025,1 yıldan fazla,Sadece dershane,80-100,40-60,100-110,60-70,"Konu Odaklı: Konuyu tam anlamadan soruya geçmezdim, teorik temele çok vakit ayırırdım.",0-4,Gündüz,Tyt fizik optik-Ayt biyoloji bitkiler,Son bir ayda ayt 70 uzerini görebildim.,Matematikde zor sorulara kendimi alıṣtırmak.,4635,6000,Sınav sürecinde ekrandan uzaklaṣıp çalıșma saatimi arttırırdım.
08.03.2026 13:21:48,2025,6-12 ay arası,Sadece dershane,80-100,40-60,100-110,75+,Analiz Odaklı: Konu çalışmaktan ziyade deneme analizleri ve yanlış sorular üzerinden ilerlerdim.,6-8,Gece,"PKOB (matematik) , Dil Bilgisi ",Yok,Bir kırılma anım yoktu sürece ve kendime güvendiğim için kendiliğinden oldu zaten . ,4500,8000,Yok
08.03.2026 13:46:02,2025,1 yıldan fazla,Sadece dershane,60-80,40-60,100-110,75+,Pratik Odaklı: Konuyu hızlıca öğrenip asıl kavramayı bol soru ve farklı kaynakla yapardım.,6-8,Gündüz,Sistemler,yaşadım,Sevmediğim derslere de gereken önemi vermek,1801,3000,Yok
08.03.2026 13:51:33,2025,1 yıldan fazla,Sadece dershane,40-60,0-40,80-100,75+,Analiz Odaklı: Konu çalışmaktan ziyade deneme analizleri ve yanlış sorular üzerinden ilerlerdim.,0-4,Gece,PKOB,Yok (aşırı zor denemeler hariç),Deneme odaklı ilerlemem. Çoğu insan konu+soru giderdi.,6292,4191,Yok
09.03.2026 22:38:42,2025,1 yıldan fazla,Sadece dershane,80-100,40-60,100-110,70-75,Pratik Odaklı: Konuyu hızlıca öğrenip asıl kavramayı bol soru ve farklı kaynakla yapardım.,8-10,Gündüz,Bitki organik ayt geo,Yok,Düzenli çalışmak,7500,6500,Ayt kimya daha çok çalışırdım
10.03.2026 16:08:22,2025,3 aydan az,Sadece dershane,80-100,40-60,100-110,75+,Pratik Odaklı: Konuyu hızlıca öğrenip asıl kavramayı bol soru ve farklı kaynakla yapardım.,6-8,Gündüz,"optik, organigin bazi kisimlari, biraz pkob",tyt anlaminda marttan sonra istedigim seviyeye sabitlendi. ayt anlaminda nisan mayis gibi genel deneme agirlikli calismaya baslayinca netlerim yukseldi,paragraf rutinim ve ayt agirlikli calisiyor olmam,6789,9900,problem cozmeyi bir sure daha devam ettirirdim
